id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_hotel,jumlah_hotel,satuan,tahun
236,32,JAWA BARAT,3274,KOTA CIREBON,BINTANG 1,0,UNIT,2015
237,32,JAWA BARAT,3274,KOTA CIREBON,BINTANG 2,5,UNIT,2015
238,32,JAWA BARAT,3274,KOTA CIREBON,BINTANG 3,2,UNIT,2015
239,32,JAWA BARAT,3274,KOTA CIREBON,BINTANG 4,1,UNIT,2015
240,32,JAWA BARAT,3274,KOTA CIREBON,BINTANG 5,0,UNIT,2015
241,32,JAWA BARAT,3275,KOTA BEKASI,BINTANG 1,1,UNIT,2015
242,32,JAWA BARAT,3275,KOTA BEKASI,BINTANG 2,0,UNIT,2015
243,32,JAWA BARAT,3275,KOTA BEKASI,BINTANG 3,0,UNIT,2015
244,32,JAWA BARAT,3275,KOTA BEKASI,BINTANG 4,1,UNIT,2015
245,32,JAWA BARAT,3275,KOTA BEKASI,BINTANG 5,0,UNIT,2015
246,32,JAWA BARAT,3276,KOTA DEPOK,BINTANG 1,1,UNIT,2015
247,32,JAWA BARAT,3276,KOTA DEPOK,BINTANG 2,0,UNIT,2015
248,32,JAWA BARAT,3276,KOTA DEPOK,BINTANG 3,0,UNIT,2015
249,32,JAWA BARAT,3276,KOTA DEPOK,BINTANG 4,0,UNIT,2015
250,32,JAWA BARAT,3276,KOTA DEPOK,BINTANG 5,0,UNIT,2015
251,32,JAWA BARAT,3277,KOTA CIMAHI,BINTANG 1,0,UNIT,2015
252,32,JAWA BARAT,3277,KOTA CIMAHI,BINTANG 2,0,UNIT,2015
253,32,JAWA BARAT,3277,KOTA CIMAHI,BINTANG 3,0,UNIT,2015
254,32,JAWA BARAT,3277,KOTA CIMAHI,BINTANG 4,0,UNIT,2015
255,32,JAWA BARAT,3277,KOTA CIMAHI,BINTANG 5,0,UNIT,2015
256,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BINTANG 1,1,UNIT,2015
257,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BINTANG 2,2,UNIT,2015
258,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BINTANG 3,2,UNIT,2015
259,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BINTANG 4,0,UNIT,2015
260,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BINTANG 5,0,UNIT,2015
261,32,JAWA BARAT,3279,KOTA BANJAR,BINTANG 1,0,UNIT,2015
262,32,JAWA BARAT,3279,KOTA BANJAR,BINTANG 2,0,UNIT,2015
263,32,JAWA BARAT,3279,KOTA BANJAR,BINTANG 3,0,UNIT,2015
264,32,JAWA BARAT,3279,KOTA BANJAR,BINTANG 4,0,UNIT,2015
265,32,JAWA BARAT,3279,KOTA BANJAR,BINTANG 5,0,UNIT,2015
266,32,JAWA BARAT,3201,KABUPATEN BOGOR,BINTANG 1,4,UNIT,2016
267,32,JAWA BARAT,3201,KABUPATEN BOGOR,BINTANG 2,4,UNIT,2016
268,32,JAWA BARAT,3201,KABUPATEN BOGOR,BINTANG 3,9,UNIT,2016
269,32,JAWA BARAT,3201,KABUPATEN BOGOR,BINTANG 4,4,UNIT,2016
270,32,JAWA BARAT,3201,KABUPATEN BOGOR,BINTANG 5,1,UNIT,2016
271,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BINTANG 1,0,UNIT,2016
272,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BINTANG 2,1,UNIT,2016
273,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BINTANG 3,1,UNIT,2016
274,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BINTANG 4,1,UNIT,2016
275,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BINTANG 5,0,UNIT,2016
276,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BINTANG 1,2,UNIT,2016
277,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BINTANG 2,6,UNIT,2016
278,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BINTANG 3,3,UNIT,2016
279,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BINTANG 4,3,UNIT,2016
280,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BINTANG 5,0,UNIT,2016
281,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BINTANG 1,0,UNIT,2016
282,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BINTANG 2,0,UNIT,2016
283,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BINTANG 3,0,UNIT,2016
284,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BINTANG 4,0,UNIT,2016
285,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BINTANG 5,0,UNIT,2016
286,32,JAWA BARAT,3205,KABUPATEN GARUT,BINTANG 1,0,UNIT,2016
